,count,mean,std,min,25%,50%,75%,max
Anon,351.0,245.05982905982907,2869.2354888882805,0.0,0.0,0.0,0.0,40960.0
File,351.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kernel_stack,351.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pagetables,351.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Percpu,351.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sock,351.0,-35.00854700854701,3708.9200611399997,-45056.0,0.0,0.0,0.0,32768.0
Shmem,351.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
File_mapped,351.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
File_dirty,351.0,93.35612535612536,1749.026447961699,0.0,0.0,0.0,0.0,32768.0
File_writeback,351.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Swapcached,351.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anon_thp,351.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
File_thp,351.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shmem_thp,351.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inactive_anon,351.0,186.71225071225072,1597.974870120055,0.0,0.0,0.0,0.0,20480.0
Active_anon,351.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inactive_file,351.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Active_file,351.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unevictable,351.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Slab_reclaimable,351.0,-37.94871794871795,2426.4872453092253,-12040.0,0.0,0.0,0.0,30200.0
Slab_unreclaimable,351.0,447.4074074074074,24219.511530094947,-76208.0,-15312.0,264.0,16368.0,76032.0
Slab,351.0,409.45868945868943,24515.028758536264,-87648.0,-15312.0,264.0,16404.0,76032.0
Workingset_refault_anon,351.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_refault_file,351.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_activate_anon,351.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_activate_file,351.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_restore_anon,351.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_restore_file,351.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_nodereclaim,351.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgfault,351.0,0.05982905982905983,0.7004969455293654,0.0,0.0,0.0,0.0,10.0
Pgmajfault,351.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgrefill,351.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgscan,351.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgsteal,351.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgactivate,351.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgdeactivate,351.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pglazyfree,351.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pglazyfreed,351.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thp_fault_alloc,351.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thp_collapse_alloc,351.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
