,count,mean,std,min,25%,50%,75%,max
Anon,378.0,325.07936507936506,2842.9548977628288,0.0,0.0,0.0,0.0,40960.0
File,378.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kernel_stack,378.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pagetables,378.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Percpu,378.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sock,378.0,-65.01587301587301,8208.022728959197,-102400.0,0.0,0.0,0.0,102400.0
Shmem,378.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
File_mapped,378.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
File_dirty,378.0,-54.17989417989418,3177.8904751519563,-49152.0,0.0,0.0,0.0,36864.0
File_writeback,378.0,130.03174603174602,2528.106085778915,0.0,0.0,0.0,0.0,49152.0
Swapcached,378.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anon_thp,378.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
File_thp,378.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shmem_thp,378.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inactive_anon,378.0,216.7195767195767,1966.9964852900948,0.0,0.0,0.0,0.0,24576.0
Active_anon,378.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inactive_file,378.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Active_file,378.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unevictable,378.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Slab_reclaimable,378.0,26.666666666666668,2793.845452739486,-8800.0,0.0,0.0,0.0,51160.0
Slab_unreclaimable,378.0,-815.936507936508,23016.87537199299,-66432.0,-13800.0,0.0,13152.0,68120.0
Slab,378.0,-789.2698412698413,23529.029901873964,-71752.0,-14520.0,0.0,12956.0,91784.0
Workingset_refault_anon,378.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_refault_file,378.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_activate_anon,378.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_activate_file,378.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_restore_anon,378.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_restore_file,378.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_nodereclaim,378.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgfault,378.0,0.10846560846560846,0.8809099919591378,0.0,0.0,0.0,0.0,10.0
Pgmajfault,378.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgrefill,378.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgscan,378.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgsteal,378.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgactivate,378.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgdeactivate,378.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pglazyfree,378.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pglazyfreed,378.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thp_fault_alloc,378.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thp_collapse_alloc,378.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
