,count,mean,std,min,25%,50%,75%,max
Anon,385.0,234.05714285714285,2583.2996839590364,0.0,0.0,0.0,0.0,40960.0
File,385.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kernel_stack,385.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pagetables,385.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Percpu,385.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sock,385.0,-521.3090909090909,9474.913884313226,-180224.0,0.0,0.0,0.0,28672.0
Shmem,385.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
File_mapped,385.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
File_dirty,385.0,-95.75064935064935,1682.4688023840654,-32768.0,0.0,0.0,0.0,0.0
File_writeback,385.0,-10.638961038961039,208.75148961285143,-4096.0,0.0,0.0,0.0,0.0
Swapcached,385.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anon_thp,385.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
File_thp,385.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shmem_thp,385.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inactive_anon,385.0,308.5298701298701,2497.9407706161683,0.0,0.0,0.0,0.0,32768.0
Active_anon,385.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inactive_file,385.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Active_file,385.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unevictable,385.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Slab_reclaimable,385.0,21.818181818181817,2099.67205231501,-5880.0,0.0,0.0,0.0,29480.0
Slab_unreclaimable,385.0,1809.5792207792208,25626.99538571713,-100584.0,-13200.0,0.0,17528.0,100848.0
Slab,385.0,1831.3974025974026,25656.402212104174,-101424.0,-12672.0,0.0,17952.0,100848.0
Workingset_refault_anon,385.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_refault_file,385.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_activate_anon,385.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_activate_file,385.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_restore_anon,385.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_restore_file,385.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_nodereclaim,385.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgfault,385.0,0.06753246753246753,0.7075562327552648,0.0,0.0,0.0,0.0,10.0
Pgmajfault,385.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgrefill,385.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgscan,385.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgsteal,385.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgactivate,385.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgdeactivate,385.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pglazyfree,385.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pglazyfreed,385.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thp_fault_alloc,385.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thp_collapse_alloc,385.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
