,count,mean,std,min,25%,50%,75%,max
Anon,372.0,187.18279569892474,2758.13698967749,0.0,0.0,0.0,0.0,49152.0
File,372.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kernel_stack,372.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pagetables,372.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Percpu,372.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sock,372.0,-407.39784946236557,5153.595739756498,-86016.0,0.0,0.0,0.0,4096.0
Shmem,372.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
File_mapped,372.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
File_dirty,372.0,-11.010752688172044,212.36770708079106,-4096.0,0.0,0.0,0.0,0.0
File_writeback,372.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Swapcached,372.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anon_thp,372.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
File_thp,372.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shmem_thp,372.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inactive_anon,372.0,165.16129032258064,2590.4956255078196,0.0,0.0,0.0,0.0,49152.0
Active_anon,372.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inactive_file,372.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Active_file,372.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unevictable,372.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Slab_reclaimable,372.0,-28.06451612903226,2027.3045895452933,-11720.0,0.0,0.0,0.0,34400.0
Slab_unreclaimable,372.0,-348.4301075268817,22741.690955200327,-107184.0,-13728.0,0.0,12672.0,81312.0
Slab,372.0,-376.494623655914,22881.798257713697,-107184.0,-13728.0,0.0,12738.0,81312.0
Workingset_refault_anon,372.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_refault_file,372.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_activate_anon,372.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_activate_file,372.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_restore_anon,372.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_restore_file,372.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_nodereclaim,372.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgfault,372.0,0.056451612903225805,0.8684566912670751,0.0,0.0,0.0,0.0,16.0
Pgmajfault,372.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgrefill,372.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgscan,372.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgsteal,372.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgactivate,372.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgdeactivate,372.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pglazyfree,372.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pglazyfreed,372.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thp_fault_alloc,372.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thp_collapse_alloc,372.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
