,count,mean,std,min,25%,50%,75%,max
Anon,416.0,196.92307692307693,2583.0242467171734,0.0,0.0,0.0,0.0,36864.0
File,416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kernel_stack,416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pagetables,416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Percpu,416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sock,416.0,-147.69230769230768,7604.551883633936,-143360.0,0.0,0.0,0.0,53248.0
Shmem,416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
File_mapped,416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
File_dirty,416.0,-19.692307692307693,283.6641175815799,-4096.0,0.0,0.0,0.0,0.0
File_writeback,416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Swapcached,416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anon_thp,416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
File_thp,416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shmem_thp,416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inactive_anon,416.0,226.46153846153845,2525.1710453265728,0.0,0.0,0.0,0.0,36864.0
Active_anon,416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inactive_file,416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Active_file,416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unevictable,416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Slab_reclaimable,416.0,29.03846153846154,2482.631141847083,-6320.0,0.0,0.0,0.0,35920.0
Slab_unreclaimable,416.0,956.9615384615385,26940.175220017856,-88176.0,-15312.0,0.0,17952.0,88704.0
Slab,416.0,986.0,27064.63449889978,-88176.0,-15312.0,0.0,17952.0,88704.0
Workingset_refault_anon,416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_refault_file,416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_activate_anon,416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_activate_file,416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_restore_anon,416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_restore_file,416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_nodereclaim,416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgfault,416.0,0.07211538461538461,1.0341593856108835,0.0,0.0,0.0,0.0,19.0
Pgmajfault,416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgrefill,416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgscan,416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgsteal,416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgactivate,416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgdeactivate,416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pglazyfree,416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pglazyfreed,416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thp_fault_alloc,416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thp_collapse_alloc,416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
