,count,mean,std,min,25%,50%,75%,max
Anon,376.0,185.19148936170214,2138.633828226338,0.0,0.0,0.0,0.0,36864.0
File,376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kernel_stack,376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pagetables,376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Percpu,376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sock,376.0,-631.8297872340426,9841.892100621895,-184320.0,0.0,0.0,0.0,20480.0
Shmem,376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
File_mapped,376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
File_dirty,376.0,-10.893617021276595,211.2350712338009,-4096.0,0.0,0.0,0.0,0.0
File_writeback,376.0,10.893617021276595,211.2350712338009,0.0,0.0,0.0,0.0,4096.0
Swapcached,376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anon_thp,376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
File_thp,376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shmem_thp,376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inactive_anon,376.0,217.87234042553192,1831.0072374678298,0.0,0.0,0.0,0.0,24576.0
Active_anon,376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inactive_file,376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Active_file,376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unevictable,376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Slab_reclaimable,376.0,-73.29787234042553,1196.543366689563,-9240.0,0.0,0.0,0.0,14560.0
Slab_unreclaimable,376.0,1040.1702127659576,26486.642959152392,-126192.0,-13200.0,0.0,14436.0,109296.0
Slab,376.0,966.8723404255319,26553.498158491147,-126192.0,-13378.0,0.0,14784.0,109296.0
Workingset_refault_anon,376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_refault_file,376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_activate_anon,376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_activate_file,376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_restore_anon,376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_restore_file,376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_nodereclaim,376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgfault,376.0,0.05585106382978723,0.5973879312687292,0.0,0.0,0.0,0.0,9.0
Pgmajfault,376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgrefill,376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgscan,376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgsteal,376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgactivate,376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgdeactivate,376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pglazyfree,376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pglazyfreed,376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thp_fault_alloc,376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thp_collapse_alloc,376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
