,count,mean,std,min,25%,50%,75%,max
Anon,420.0,156.03809523809525,2092.8721214929446,0.0,0.0,0.0,0.0,36864.0
File,420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kernel_stack,420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pagetables,420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Percpu,420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sock,420.0,-341.3333333333333,5956.487303438352,-110592.0,0.0,0.0,0.0,16384.0
Shmem,420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
File_mapped,420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
File_dirty,420.0,-29.257142857142856,2570.1987368849313,-40960.0,0.0,0.0,0.0,32768.0
File_writeback,420.0,9.752380952380953,199.86433493985962,0.0,0.0,0.0,0.0,4096.0
Swapcached,420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anon_thp,420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
File_thp,420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shmem_thp,420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inactive_anon,420.0,185.2952380952381,1675.858287842956,0.0,0.0,0.0,0.0,20480.0
Active_anon,420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inactive_file,420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Active_file,420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unevictable,420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Slab_reclaimable,420.0,-105.9047619047619,834.1124449738926,-6520.0,0.0,0.0,0.0,7080.0
Slab_unreclaimable,420.0,1851.142857142857,24600.62338012515,-72336.0,-11748.0,0.0,15312.0,85536.0
Slab,420.0,1745.2380952380952,24643.156221437093,-72336.0,-11748.0,0.0,15312.0,85536.0
Workingset_refault_anon,420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_refault_file,420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_activate_anon,420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_activate_file,420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_restore_anon,420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_restore_file,420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_nodereclaim,420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgfault,420.0,0.05238095238095238,0.6348051756973704,0.0,0.0,0.0,0.0,9.0
Pgmajfault,420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgrefill,420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgscan,420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgsteal,420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgactivate,420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgdeactivate,420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pglazyfree,420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pglazyfreed,420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thp_fault_alloc,420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thp_collapse_alloc,420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
