,count,mean,std,min,25%,50%,75%,max
Anon,380.0,140.1263157894737,2348.125932094188,0.0,0.0,0.0,0.0,45056.0
File,380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kernel_stack,380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pagetables,380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Percpu,380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sock,380.0,-571.2842105263157,9455.268649714426,-180224.0,0.0,0.0,0.0,16384.0
Shmem,380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
File_mapped,380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
File_dirty,380.0,-10.778947368421052,210.12036650703956,-4096.0,0.0,0.0,0.0,0.0
File_writeback,380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Swapcached,380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anon_thp,380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
File_thp,380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shmem_thp,380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inactive_anon,380.0,452.7157894736842,7095.596588591762,0.0,0.0,0.0,0.0,135168.0
Active_anon,380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inactive_file,380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Active_file,380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unevictable,380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Slab_reclaimable,380.0,-71.15789473684211,1982.0507826034059,-8600.0,0.0,0.0,0.0,34600.0
Slab_unreclaimable,380.0,-1132.1052631578948,47323.664998008884,-397584.0,-15444.0,0.0,18084.0,124080.0
Slab,380.0,-1203.2631578947369,47418.45580519293,-397584.0,-15840.0,0.0,18084.0,124080.0
Workingset_refault_anon,380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_refault_file,380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_activate_anon,380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_activate_file,380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_restore_anon,380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_restore_file,380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_nodereclaim,380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgfault,380.0,0.05526315789473684,0.8280049992905596,0.0,0.0,0.0,0.0,15.0
Pgmajfault,380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgrefill,380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgscan,380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgsteal,380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgactivate,380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgdeactivate,380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pglazyfree,380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pglazyfreed,380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thp_fault_alloc,380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thp_collapse_alloc,380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
