,count,mean,std,min,25%,50%,75%,max
Anon,363.0,270.8099173553719,3032.4312866028263,0.0,0.0,0.0,0.0,49152.0
File,363.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kernel_stack,363.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pagetables,363.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Percpu,363.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sock,363.0,-135.40495867768595,5822.955783258833,-98304.0,0.0,0.0,0.0,45056.0
Shmem,363.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
File_mapped,363.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
File_dirty,363.0,-11.28374655647383,214.98424569097338,-4096.0,0.0,0.0,0.0,0.0
File_writeback,363.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Swapcached,363.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anon_thp,363.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
File_thp,363.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shmem_thp,363.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inactive_anon,363.0,180.53994490358127,1739.5817670430804,0.0,0.0,0.0,0.0,24576.0
Active_anon,363.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inactive_file,363.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Active_file,363.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unevictable,363.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Slab_reclaimable,363.0,130.68870523415978,2759.5492304566824,-5880.0,0.0,0.0,0.0,38360.0
Slab_unreclaimable,363.0,872.2424242424242,31401.686119114507,-173184.0,-13464.0,0.0,17424.0,116688.0
Slab,363.0,1002.931129476584,31600.7948267617,-173184.0,-13200.0,0.0,17884.0,116688.0
Workingset_refault_anon,363.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_refault_file,363.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_activate_anon,363.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_activate_file,363.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_restore_anon,363.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_restore_file,363.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_nodereclaim,363.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgfault,363.0,0.07162534435261708,0.7938606642686212,0.0,0.0,0.0,0.0,13.0
Pgmajfault,363.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgrefill,363.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgscan,363.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgsteal,363.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgactivate,363.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgdeactivate,363.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pglazyfree,363.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pglazyfreed,363.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thp_fault_alloc,363.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thp_collapse_alloc,363.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
