,count,mean,std,min,25%,50%,75%,max
Anon,356.0,138.06741573033707,1530.9708881069716,0.0,0.0,0.0,0.0,20480.0
File,356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kernel_stack,356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pagetables,356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Percpu,356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sock,356.0,-34.51685393258427,2487.937747114658,-36864.0,0.0,0.0,0.0,16384.0
Shmem,356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
File_mapped,356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
File_dirty,356.0,-11.50561797752809,217.08756582530253,-4096.0,0.0,0.0,0.0,0.0
File_writeback,356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Swapcached,356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anon_thp,356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
File_thp,356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shmem_thp,356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inactive_anon,356.0,103.5505617977528,1166.0961428363062,0.0,0.0,0.0,0.0,16384.0
Active_anon,356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inactive_file,356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Active_file,356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unevictable,356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Slab_reclaimable,356.0,-47.640449438202246,1709.7315644486148,-6280.0,0.0,0.0,0.0,21200.0
Slab_unreclaimable,356.0,416.3370786516854,24691.90519940085,-79200.0,-14388.0,0.0,15312.0,73920.0
Slab,356.0,368.69662921348316,24740.818415604284,-79200.0,-13860.0,0.0,15822.0,73920.0
Workingset_refault_anon,356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_refault_file,356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_activate_anon,356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_activate_file,356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_restore_anon,356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_restore_file,356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_nodereclaim,356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgfault,356.0,0.03651685393258427,0.4129088870573259,0.0,0.0,0.0,0.0,6.0
Pgmajfault,356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgrefill,356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgscan,356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgsteal,356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgactivate,356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgdeactivate,356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pglazyfree,356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pglazyfreed,356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thp_fault_alloc,356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thp_collapse_alloc,356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
