,count,mean,std,min,25%,50%,75%,max
Anon,401.0,173.64588528678306,1616.2249980399622,0.0,0.0,0.0,0.0,24576.0
File,401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kernel_stack,401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pagetables,401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Percpu,401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sock,401.0,-194.07481296758104,6566.706097000917,-118784.0,0.0,0.0,0.0,28672.0
Shmem,401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
File_mapped,401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
File_dirty,401.0,-143.00249376558602,2863.622706030556,-57344.0,0.0,0.0,0.0,0.0
File_writeback,401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Swapcached,401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anon_thp,401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
File_thp,401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shmem_thp,401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inactive_anon,401.0,112.35910224438902,1369.2263036924144,0.0,0.0,0.0,0.0,24576.0
Active_anon,401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inactive_file,401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Active_file,401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unevictable,401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Slab_reclaimable,401.0,-10.27431421446384,1909.6497518036108,-11400.0,0.0,0.0,0.0,17480.0
Slab_unreclaimable,401.0,1783.7206982543642,22937.35345679173,-72336.0,-11088.0,0.0,15840.0,66000.0
Slab,401.0,1773.4463840399003,23142.54390560258,-72336.0,-11088.0,0.0,15840.0,66000.0
Workingset_refault_anon,401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_refault_file,401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_activate_anon,401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_activate_file,401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_restore_anon,401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_restore_file,401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_nodereclaim,401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgfault,401.0,0.05486284289276808,0.5215194566273609,0.0,0.0,0.0,0.0,7.0
Pgmajfault,401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgrefill,401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgscan,401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgsteal,401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgactivate,401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgdeactivate,401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pglazyfree,401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pglazyfreed,401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thp_fault_alloc,401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thp_collapse_alloc,401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
