,count,mean,std,min,25%,50%,75%,max
Anon,421.0,204.31353919239905,2278.3876204628045,0.0,0.0,0.0,0.0,36864.0
File,421.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kernel_stack,421.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pagetables,421.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Percpu,421.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sock,421.0,-340.5225653206651,8451.42655484798,-167936.0,0.0,0.0,0.0,24576.0
Shmem,421.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
File_mapped,421.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
File_dirty,421.0,68.10451306413302,1819.573625750605,-4096.0,0.0,0.0,0.0,36864.0
File_writeback,421.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Swapcached,421.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anon_thp,421.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
File_thp,421.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shmem_thp,421.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inactive_anon,421.0,175.12589073634203,1845.1538162284357,0.0,0.0,0.0,0.0,28672.0
Active_anon,421.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inactive_file,421.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Active_file,421.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unevictable,421.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Slab_reclaimable,421.0,15.01187648456057,1717.0214554367228,-5400.0,0.0,0.0,0.0,25840.0
Slab_unreclaimable,421.0,-95.25890736342043,24352.434528965874,-71280.0,-16368.0,0.0,15840.0,71280.0
Slab,421.0,-80.24703087885986,24462.948921948842,-71280.0,-16368.0,0.0,16368.0,71280.0
Workingset_refault_anon,421.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_refault_file,421.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_activate_anon,421.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_activate_file,421.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_restore_anon,421.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_restore_file,421.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_nodereclaim,421.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgfault,421.0,0.0498812351543943,0.5562469776520519,0.0,0.0,0.0,0.0,9.0
Pgmajfault,421.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgrefill,421.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgscan,421.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgsteal,421.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgactivate,421.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgdeactivate,421.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pglazyfree,421.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pglazyfreed,421.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thp_fault_alloc,421.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thp_collapse_alloc,421.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
