,count,mean,std,min,25%,50%,75%,max
Anon,416.0,19.692307692307693,401.6458447630009,0.0,0.0,0.0,0.0,8192.0
File,416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kernel_stack,416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pagetables,416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Percpu,416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sock,416.0,-866.4615384615385,10630.57326491313,-147456.0,0.0,0.0,0.0,49152.0
Shmem,416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
File_mapped,416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
File_dirty,416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
File_writeback,416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Swapcached,416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anon_thp,416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
File_thp,416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shmem_thp,416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inactive_anon,416.0,137.84615384615384,1092.5948225000182,0.0,0.0,0.0,0.0,12288.0
Active_anon,416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inactive_file,416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Active_file,416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unevictable,416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Slab_reclaimable,416.0,-119.51923076923077,1585.9685223377398,-6280.0,0.0,0.0,0.0,27120.0
Slab_unreclaimable,416.0,2055.0384615384614,23903.759699411134,-104712.0,-11616.0,1056.0,18408.0,60720.0
Slab,416.0,1935.5192307692307,24001.334020748367,-106392.0,-11616.0,528.0,18480.0,60720.0
Workingset_refault_anon,416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_refault_file,416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_activate_anon,416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_activate_file,416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_restore_anon,416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_restore_file,416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_nodereclaim,416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgfault,416.0,0.004807692307692308,0.09805806756909202,0.0,0.0,0.0,0.0,2.0
Pgmajfault,416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgrefill,416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgscan,416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgsteal,416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgactivate,416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgdeactivate,416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pglazyfree,416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pglazyfreed,416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thp_fault_alloc,416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thp_collapse_alloc,416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
