,count,mean,std,min,25%,50%,75%,max
Anon,408.0,190.7450980392157,2111.086913066671,0.0,0.0,0.0,0.0,32768.0
File,408.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kernel_stack,408.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pagetables,408.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Percpu,408.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sock,408.0,-240.94117647058823,8790.542680945466,-163840.0,0.0,0.0,0.0,32768.0
Shmem,408.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
File_mapped,408.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
File_dirty,408.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
File_writeback,408.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Swapcached,408.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anon_thp,408.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
File_thp,408.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shmem_thp,408.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inactive_anon,408.0,140.54901960784315,1485.3171808783147,0.0,0.0,0.0,0.0,24576.0
Active_anon,408.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inactive_file,408.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Active_file,408.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unevictable,408.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Slab_reclaimable,408.0,3.7254901960784315,2318.2018455464768,-12600.0,0.0,0.0,0.0,26480.0
Slab_unreclaimable,408.0,1135.5882352941176,23296.062923204965,-75504.0,-12672.0,0.0,15312.0,68112.0
Slab,408.0,1139.313725490196,23461.011900390782,-75504.0,-12672.0,0.0,15312.0,69384.0
Workingset_refault_anon,408.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_refault_file,408.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_activate_anon,408.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_activate_file,408.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_restore_anon,408.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_restore_file,408.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_nodereclaim,408.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgfault,408.0,0.04656862745098039,0.5154020783854177,0.0,0.0,0.0,0.0,8.0
Pgmajfault,408.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgrefill,408.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgscan,408.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgsteal,408.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgactivate,408.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgdeactivate,408.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pglazyfree,408.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pglazyfreed,408.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thp_fault_alloc,408.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thp_collapse_alloc,408.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
