,count,mean,std,min,25%,50%,75%,max
Anon,373.0,230.6058981233244,2363.0876711578067,0.0,0.0,0.0,0.0,32768.0
File,373.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kernel_stack,373.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pagetables,373.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Percpu,373.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sock,373.0,-538.0804289544236,6208.125979416775,-86016.0,0.0,0.0,0.0,20480.0
Shmem,373.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
File_mapped,373.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
File_dirty,373.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
File_writeback,373.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Swapcached,373.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anon_thp,373.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
File_thp,373.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shmem_thp,373.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inactive_anon,373.0,164.71849865951742,1622.8670364068046,0.0,0.0,0.0,0.0,20480.0
Active_anon,373.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inactive_file,373.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Active_file,373.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unevictable,373.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Slab_reclaimable,373.0,-31.099195710455763,1920.661322970064,-8600.0,0.0,0.0,0.0,26240.0
Slab_unreclaimable,373.0,1936.4504021447722,26536.56700396139,-95040.0,-14256.0,0.0,18744.0,86592.0
Slab,373.0,1905.3512064343163,26624.156405788166,-95040.0,-14256.0,0.0,18480.0,86592.0
Workingset_refault_anon,373.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_refault_file,373.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_activate_anon,373.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_activate_file,373.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_restore_anon,373.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_restore_file,373.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_nodereclaim,373.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgfault,373.0,0.07238605898123325,0.7460389601942423,0.0,0.0,0.0,0.0,11.0
Pgmajfault,373.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgrefill,373.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgscan,373.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgsteal,373.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgactivate,373.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgdeactivate,373.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pglazyfree,373.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pglazyfreed,373.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thp_fault_alloc,373.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thp_collapse_alloc,373.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
