,count,mean,std,min,25%,50%,75%,max
Anon,386.0,137.94818652849742,1728.5099348025137,0.0,0.0,0.0,0.0,28672.0
File,386.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kernel_stack,386.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pagetables,386.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Percpu,386.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sock,386.0,-392.62176165803106,6743.201008495872,-126976.0,0.0,0.0,0.0,12288.0
Shmem,386.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
File_mapped,386.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
File_dirty,386.0,-10.61139896373057,208.4809107698842,-4096.0,0.0,0.0,0.0,0.0
File_writeback,386.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Swapcached,386.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anon_thp,386.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
File_thp,386.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shmem_thp,386.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inactive_anon,386.0,286.5077720207254,1992.5807976100675,0.0,0.0,0.0,0.0,20480.0
Active_anon,386.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inactive_file,386.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Active_file,386.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unevictable,386.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Slab_reclaimable,386.0,-33.26424870466321,1422.5465432292854,-5280.0,0.0,0.0,0.0,22080.0
Slab_unreclaimable,386.0,1067.481865284974,36675.58935513407,-384120.0,-11484.0,0.0,16368.0,127248.0
Slab,386.0,1034.217616580311,36913.2562237935,-389160.0,-11484.0,0.0,16368.0,127248.0
Workingset_refault_anon,386.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_refault_file,386.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_activate_anon,386.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_activate_file,386.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_restore_anon,386.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_restore_file,386.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_nodereclaim,386.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgfault,386.0,0.03367875647668394,0.42199949580139495,0.0,0.0,0.0,0.0,7.0
Pgmajfault,386.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgrefill,386.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgscan,386.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgsteal,386.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgactivate,386.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgdeactivate,386.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pglazyfree,386.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pglazyfreed,386.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thp_fault_alloc,386.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thp_collapse_alloc,386.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
