,count,mean,std,min,25%,50%,75%,max
Anon,379.0,216.14775725593668,3630.3772537527084,0.0,0.0,0.0,0.0,69632.0
File,379.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kernel_stack,379.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pagetables,379.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Percpu,379.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sock,379.0,-432.29551451187336,9158.39739667389,-172032.0,0.0,0.0,0.0,28672.0
Shmem,379.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
File_mapped,379.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
File_dirty,379.0,-75.65171503957784,1279.2481940064424,-24576.0,0.0,0.0,0.0,0.0
File_writeback,379.0,43.229551451187334,841.5895501824231,0.0,0.0,0.0,0.0,16384.0
Swapcached,379.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anon_thp,379.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
File_thp,379.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shmem_thp,379.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inactive_anon,379.0,248.56992084432719,2081.3654889686172,0.0,0.0,0.0,0.0,24576.0
Active_anon,379.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inactive_file,379.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Active_file,379.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unevictable,379.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Slab_reclaimable,379.0,17.308707124010553,2635.597607443735,-10600.0,0.0,0.0,0.0,44360.0
Slab_unreclaimable,379.0,984.3799472295515,21824.565777802996,-78672.0,-13200.0,0.0,13148.0,82368.0
Slab,379.0,1001.688654353562,21894.598757441716,-78672.0,-13200.0,0.0,13200.0,82368.0
Workingset_refault_anon,379.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_refault_file,379.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_activate_anon,379.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_activate_file,379.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_restore_anon,379.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_restore_file,379.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_nodereclaim,379.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgfault,379.0,0.05804749340369393,0.9382001162096868,0.0,0.0,0.0,0.0,18.0
Pgmajfault,379.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgrefill,379.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgscan,379.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgsteal,379.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgactivate,379.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgdeactivate,379.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pglazyfree,379.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pglazyfreed,379.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thp_fault_alloc,379.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thp_collapse_alloc,379.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
