,count,mean,std,min,25%,50%,75%,max
Anon,383.0,128.33420365535247,1563.0017211001802,0.0,0.0,0.0,0.0,24576.0
File,383.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kernel_stack,383.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pagetables,383.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Percpu,383.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sock,383.0,-449.1697127937337,10209.705382108084,-192512.0,0.0,0.0,0.0,36864.0
Shmem,383.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
File_mapped,383.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
File_dirty,383.0,-10.694516971279374,209.29582297399128,-4096.0,0.0,0.0,0.0,0.0
File_writeback,383.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Swapcached,383.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anon_thp,383.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
File_thp,383.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shmem_thp,383.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inactive_anon,383.0,64.16710182767623,659.5952854518213,0.0,0.0,0.0,0.0,8192.0
Active_anon,383.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inactive_file,383.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Active_file,383.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unevictable,383.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Slab_reclaimable,383.0,-70.18276762402088,2034.3612960187083,-11520.0,0.0,0.0,0.0,24760.0
Slab_unreclaimable,383.0,98.96605744125327,25159.28008143561,-80256.0,-14240.0,0.0,16896.0,58608.0
Slab,383.0,28.783289817232376,25378.37051470621,-80256.0,-14784.0,0.0,17424.0,58608.0
Workingset_refault_anon,383.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_refault_file,383.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_activate_anon,383.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_activate_file,383.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_restore_anon,383.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_restore_file,383.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_nodereclaim,383.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgfault,383.0,0.031331592689295036,0.3815922170654737,0.0,0.0,0.0,0.0,6.0
Pgmajfault,383.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgrefill,383.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgscan,383.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgsteal,383.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgactivate,383.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgdeactivate,383.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pglazyfree,383.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pglazyfreed,383.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thp_fault_alloc,383.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thp_collapse_alloc,383.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
